date,node,reach_id,pred,se
2023-05-25,67,44240400061,-0.0281116997353009,0.0168418686079201
2023-05-25,68,44240400071,-0.028111751957863,0.0168418853106133
2023-05-25,69,44240400101,-0.0281117780631521,0.016841894575194
2023-05-25,70,44240400111,-0.0281118042602655,0.0168419044855927
2023-05-25,71,44240400121,-0.0281118305796083,0.0168419150608445
2023-05-25,72,44240400131,-0.0281118613862986,0.0168419282267777
2023-05-25,73,44240400541,-0.0281118906766694,0.016841941532499
2023-05-25,74,44240400551,-0.0281119201552702,0.0168419556990905
2023-05-25,75,44240400561,1.67138075643849e-11,0.0365705766712379
2023-05-25,76,44240400171,-0.0341359444828888,0.0188899581588053
2023-05-25,77,44240400181,-0.0341359809142481,0.0188899764023514
2023-05-25,78,44240400191,-0.0341360143376966,0.018889996035132
2023-05-25,79,44240400201,-0.0341360725901598,0.0188900323833243
2023-05-25,80,44240400211,-0.0341361016686797,0.0188900515409701
2023-05-25,81,44240200011,1.54736684759519e-13,0.0178524425295941
2023-05-25,82,44240200021,1.54736850071209e-13,0.0178524628781663
2023-05-25,83,44240200031,1.54737115816169e-13,0.0178524955892821
2023-05-25,84,44240200041,1.54737382166534e-13,0.0178525283749138
2023-05-25,85,44240200051,1.5473764841399e-13,0.0178525611478734
2023-05-25,86,44240200061,1.54737843581894e-13,0.0178525851714984
2023-05-25,87,44240200071,1.54737986240226e-13,0.0178526027316088
2023-05-25,88,44240200081,1.54738128242427e-13,0.0178526202109533
2023-05-25,89,44240200091,1.54738270678004e-13,0.0178526377436417
2023-05-25,90,44240200101,1.54738412871716e-13,0.0178526552465568
2023-05-25,91,44240200111,1.54738554651019e-13,0.0178526726984604
2023-05-25,92,44240200211,1.07814861829387e-13,0.0365702618524624
2023-05-25,93,44240200861,1.07814975102003e-13,0.0365703008299037
2023-05-25,94,44240200971,1.07815314398519e-13,0.036570417582832
2023-05-25,95,44240200881,1.07815201240982e-13,0.0365703786449916
2023-05-25,96,44240200981,1.07815430396306e-13,0.0365704574980098
2023-05-25,97,44240200991,1.07815546251236e-13,0.0365704973640298
2023-05-25,98,44240201001,1.07815661791064e-13,0.0365705371216215
2023-05-25,99,44240201011,1.07815777485704e-13,0.0365705769324837
2023-05-25,100,44240200121,1.64081783773613e-13,0.0201309294799737
2023-05-25,101,44240200131,1.64081979981972e-13,0.0201309547839057
2023-05-25,102,44240200141,1.64082234691491e-13,0.0201309876324133
2023-05-25,103,44240200221,1.6408236977657e-13,0.0201310050536033
2023-05-25,104,44240200231,1.6408250416028e-13,0.0201310223843408
2023-05-25,105,44240200351,1.64082638979313e-13,0.0201310397712184
2023-05-25,106,44240200361,1.64082909638849e-13,0.0201310746767047
2023-05-25,107,44240200371,2.01343469642382e-13,0.0281614879336584
2023-05-25,108,44240200381,2.01343671979031e-13,0.0281615169385929
2023-05-25,109,44240200391,2.01343875002388e-13,0.0281615460419659
2023-05-25,110,44240200401,2.01344077927526e-13,0.0281615751312586
2023-05-25,111,44240200411,2.0134428037777e-13,0.0281616041524743
2023-05-25,112,44240200421,2.01344483165208e-13,0.0281616332220261
